4 50 200
0 0	7.486114e-01 7.668419e-01
0 1	-1.178930e+00 -2.891513e-01
0 2	3.329720e-01 2.483688e-01
0 3	2.328316e-01 -6.043035e-01
0 4	-3.211147e-01 1.906536e+00
0 5	1.905286e+00 2.858591e-01
0 6	1.999263e-01 -5.615174e-01
0 7	7.813607e-02 3.261930e-01
0 8	6.408874e-01 6.881981e-01
0 9	9.825485e-01 -1.224682e+00
0 10	-3.115097e-01 -2.900289e-01
0 11	1.967502e+00 3.449403e-01
0 12	8.793040e-01 -3.291071e-01
0 13	5.824736e-01 8.765848e-01
0 14	1.882841e+00 1.198724e+00
0 15	-8.287004e-01 8.661615e-01
0 16	-8.150599e-01 -8.106848e-01
0 17	5.023683e-02 -8.940020e-02
0 18	-1.033042e+00 -1.035450e+00
0 19	-1.993755e+00 -1.961303e-01
0 20	6.618178e-01 -4.113976e-01
0 21	3.273302e-02 1.096785e+00
0 22	-6.569055e-01 -3.324848e-01
0 23	-2.092869e+00 4.835908e-01
0 24	-1.248189e+00 1.622259e-01
0 25	-7.538286e-01 -4.963123e-01
0 26	9.198437e-01 -9.310618e-01
0 27	5.395580e-01 -1.405699e-01
0 28	3.408439e-01 -1.088162e+00
0 29	-2.396331e+00 -4.644479e-01
0 30	4.394390e-01 -1.359231e-02
0 31	2.642101e+00 -5.813069e-01
0 32	-5.808364e-01 9.427935e-02
0 33	4.863050e-01 3.325073e-02
0 34	-1.557490e+00 9.207745e-01
0 35	-9.175514e-02 -4.960812e-01
0 36	-1.565778e+00 5.447966e-02
0 37	1.636772e+00 1.535924e+00
0 38	-4.955970e-02 -5.901921e-02
0 39	1.582244e+00 -1.209643e+00
0 40	-1.362703e+00 2.843093e-01
0 41	1.484092e+00 1.094421e+00
0 42	2.794774e-01 -3.140767e-01
0 43	-2.878860e-01 -1.277563e+00
0 44	-5.131350e-01 3.492542e-01
0 45	1.702436e+00 3.919525e-01
0 46	-4.939979e-01 1.855869e-01
0 47	8.827250e-01 -5.105982e-01
0 48	3.066076e-01 1.687266e-02
0 49	-3.688050e-01 -1.039513e+00
1 0	6.986044e-01 -6.169119e-01
1 1	1.180517e+00 1.887804e+00
1 2	1.103267e+00 8.053560e-01
1 3	-1.671075e+00 4.558236e-01
1 4	7.828709e-01 8.174914e-01
1 5	1.737664e+00 6.025934e-01
1 6	-7.747909e-01 -5.616113e-01
1 7	-1.248672e+00 -1.884258e+00
1 8	-1.364299e+00 -4.533093e-02
1 9	-1.586587e-01 -7.279754e-02
1 10	4.121660e-01 -3.460037e-01
1 11	-8.167418e-01 1.424235e-01
1 12	1.530791e+00 5.592081e-01
1 13	1.518330e+00 -5.465205e-01
1 14	-9.365204e-01 6.592563e-01
1 15	-3.956537e-01 -2.822460e-01
1 16	-6.664643e-01 -4.586906e-01
1 17	9.603347e-01 4.890029e-01
1 18	2.890242e-01 1.023094e+00
1 19	-7.066954e-01 1.261640e+00
1 20	6.610961e-01 -5.881860e-01
1 21	1.083003e+00 -1.206716e+00
1 22	5.019994e-01 -4.691400e-01
1 23	4.464706e-01 2.897537e-01
1 24	-3.800406e-01 1.020264e+00
1 25	7.584098e-01 -5.592245e-01
1 26	1.244863e+00 -1.388645e+00
1 27	1.300065e+00 8.112735e-01
1 28	1.407756e+00 -1.814728e-01
1 29	9.166778e-02 -4.594385e-01
1 30	3.282699e-01 1.928651e+00
1 31	-1.529811e+00 8.986822e-02
1 32	-2.217761e-01 -1.948531e-01
1 33	-1.378774e-01 9.490018e-01
1 34	-9.720360e-01 2.281342e-01
1 35	-3.002032e-01 -3.819315e-01
1 36	2.019713e-01 -2.128421e-01
1 37	-1.601446e+00 3.756609e-01
1 38	-2.708240e+00 -9.421998e-01
1 39	-7.252908e-02 -1.221168e+00
1 40	-4.275316e-01 2.303404e-01
1 41	-3.523788e-01 -8.104945e-01
1 42	5.865169e-02 -3.896414e-01
1 43	5.317710e-01 -5.800173e-01
1 44	-1.751893e-01 -1.748248e-01
1 45	-6.005922e-01 7.355695e-02
1 46	-2.088274e+00 2.904355e-01
1 47	1.343491e+00 8.134272e-01
1 48	1.155864e+00 -1.439614e-01
1 49	-1.672494e+00 -6.502796e-02
2 0	1.178454e-01 -7.729368e-01
2 1	1.246047e+00 7.179848e-01
2 2	-1.051802e+00 4.658098e-02
2 3	-1.561290e+00 -2.975326e-01
2 4	-6.986320e-01 -6.019991e-01
2 5	-1.708123e+00 -4.893593e-01
2 6	-8.394164e-01 -1.197573e+00
2 7	8.933879e-01 -1.029777e+00
2 8	-5.730539e-01 -4.336333e-01
2 9	8.399886e-02 2.138752e-01
2 10	-5.422130e-01 -6.145431e-01
2 11	7.585693e-01 -6.358175e-01
2 12	1.576570e-01 4.530431e-01
2 13	9.792927e-01 7.976101e-01
2 14	4.911637e-01 9.110871e-01
2 15	5.350282e-01 8.397218e-01
2 16	5.254528e-01 4.104663e-02
2 17	2.551030e-01 -9.969443e-01
2 18	4.154919e-01 -7.394870e-01
2 19	6.735270e-01 -1.375842e-01
2 20	7.184605e-01 5.321462e-01
2 21	8.032460e-01 7.665698e-01
2 22	1.964581e-01 -2.057280e+00
2 23	6.156492e-01 6.935589e-01
2 24	3.242666e-01 -1.743368e+00
2 25	-2.742459e-01 -1.964749e-01
2 26	-4.089496e-01 3.651498e-01
2 27	-4.474752e-01 1.046687e+00
2 28	-1.444953e+00 -9.879224e-01
2 29	-6.045400e-01 5.777799e-01
2 30	-4.848201e-01 -5.282014e-01
2 31	9.462539e-02 -1.196574e+00
2 32	6.433265e-01 1.603676e+00
2 33	-3.575200e-01 -9.383706e-01
2 34	-1.983752e-01 7.944486e-01
2 35	1.357404e+00 -8.645475e-01
2 36	-3.930314e-01 3.877988e-01
2 37	-4.926277e-01 5.917875e-01
2 38	-3.390814e-03 -1.189714e-01
2 39	8.777318e-01 -1.598285e-01
2 40	3.358130e-01 1.289483e-01
2 41	1.056199e+00 1.047680e+00
2 42	1.142030e+00 2.458295e+00
2 43	-3.142302e+00 -4.044483e-01
2 44	4.419047e-01 -8.305006e-02
2 45	4.390557e-01 -2.640534e-01
2 46	-1.491701e+00 -4.791307e-01
2 47	-5.773828e-01 -5.877885e-01
2 48	4.507040e-01 1.691711e-02
2 49	-1.054747e+00 2.158089e+00
3 0	-3.625359e-01 -3.222459e-01
3 1	-2.446175e-01 1.545669e+00
3 2	-3.666456e-01 -2.033448e-01
3 3	-1.046057e+00 -1.194247e+00
3 4	-1.039998e+00 9.524231e-01
3 5	1.204539e-01 -1.258373e+00
3 6	4.276103e-01 -1.437071e+00
3 7	-7.308741e-01 2.475877e-01
3 8	5.383386e-01 4.228600e-01
3 9	8.818671e-01 1.169225e+00
3 10	-6.298880e-01 -2.357467e-02
3 11	-2.761378e-01 1.340642e+00
3 12	1.415804e+00 3.337013e-01
3 13	5.694929e-01 -9.414429e-01
3 14	-1.416594e+00 6.496132e-01
3 15	1.098179e+00 -6.048851e-01
3 16	1.208155e+00 -1.241618e+00
3 17	7.938470e-02 1.984249e+00
3 18	1.457675e+00 2.667256e-01
3 19	2.937463e-01 -1.676153e+00
3 20	8.073817e-01 -1.044190e+00
3 21	-4.644385e-01 9.035645e-01
3 22	-1.448496e-02 1.511612e+00
3 23	-1.413781e+00 1.259878e+00
3 24	-9.296709e-01 2.041202e+00
3 25	2.864508e-01 -1.459502e-01
3 26	6.087435e-01 -1.815619e+00
3 27	-4.658494e-01 9.013746e-01
3 28	1.167075e-01 1.793840e-01
3 29	-1.292076e-02 -1.221184e+00
3 30	1.364903e-01 -5.812413e-01
3 31	8.880842e-01 -1.241309e-01
3 32	6.062877e-01 -1.433277e+00
3 33	-9.292663e-01 3.441521e-01
3 34	-5.598278e-01 -5.546047e-01
3 35	9.162737e-03 2.079530e+00
3 36	-2.945444e-02 -6.237710e-01
3 37	-1.096659e+00 -1.174449e-01
3 38	5.479015e-01 -4.057393e-02
3 39	7.549602e-01 5.387063e-01
3 40	7.442181e-01 1.760489e+00
3 41	7.509840e-01 -5.668979e-01
3 42	-2.611666e-01 -2.447459e+00
3 43	3.190737e-01 7.948803e-01
3 44	1.222541e+00 -3.534441e-03
3 45	-6.215623e-01 -5.189570e-01
3 46	1.893602e+00 2.597810e-01
3 47	8.337817e-01 1.001693e+00
3 48	-2.690036e-01 -7.652281e-01
3 49	2.246102e+00 -4.664022e-01
4.387142e-01
1.339280e+00
1.379797e+00
-6.612909e-01
-4.097721e-01
3.655061e-01
5.000000e+02
1.000000e+00
1.000000e+00
9.383370e-01
4.732585e-01
1.191837e+00
1.846015e+00
-7.484992e-01
9.954166e-01
5.000000e+02
1.000000e+00
1.000000e+00
7.884186e-02
1.348447e+00
5.574081e-01
3.066154e-01
-5.025746e-01
9.149913e-01
5.000000e+02
1.000000e+00
1.000000e+00
1.461904e-01
-1.338760e-01
7.031334e-01
1.739365e+00
-7.774723e-01
1.399834e+00
5.000000e+02
1.000000e+00
1.000000e+00
-1.021929e+00
-4.415768e-01
-7.977481e-01
1.990577e-01
-2.472693e-01
1.102119e+00
7.652768e-02
-2.484784e-01
-4.226300e-01
1.403160e-01
-1.842090e+00
5.369103e-01
-1.158535e+00
-1.152555e+00
4.671277e-02
2.126430e-02
-6.087209e-01
4.873867e-01
9.302722e-01
4.209107e-01
5.900280e-01
-2.797603e-01
-1.260627e-01
9.154610e-02
-1.211377e+00
4.282157e-01
-1.132443e+00
2.118324e-01
1.842556e-01
1.091050e+00
-1.097826e+00
-5.020488e-01
9.744578e-01
8.980310e-01
-1.348531e+00
5.824106e-01
1.069501e+00
9.169850e-01
7.001458e-01
-2.803272e-01
-1.129400e+00
-2.825967e-01
3.556342e-01
-1.497443e+00
4.435505e-01
-2.324359e-01
5.081658e-01
-1.315955e+00
-3.624792e-01
-1.268766e+00
-7.144287e-01
-1.829513e+00
1.685942e+00
-1.244496e+00
-1.659411e+00
3.186786e-01
-2.674146e-01
1.736829e+00
1.003175e-01
1.423351e+00
3.146142e+00
6.923989e-02
-4.503867e-01
1.447458e+00
5.217789e-01
-9.686501e-01
1.688597e+00
1.009956e+00
-2.805942e-01
7.772043e-01
-4.581413e-01
1.140508e-01
-1.611636e+00
8.763283e-01
-8.104754e-02
1.235041e+00
4.471562e-01
-1.946716e-01
-6.720413e-01
1.073231e+00
-1.083201e+00
-6.980933e-01
4.122650e-01
8.210068e-01
-4.730420e-01
-4.766772e-01
2.519848e-06
9.118787e-02
5.645087e-01
4.358473e-01
8.305244e-01
1.024456e+00
5.310141e-01
-6.214698e-01
1.110280e+00
1.028660e+00
1.078021e+00
-4.349280e-01
-7.384452e-01
-2.493865e-01
1.154715e+00
3.588395e-02
8.135988e-01
-3.400151e-01
6.989420e-01
4.809339e-02
9.981110e-01
